GMLId;ParentGMLId;X-coordinate;Y-coordinate;LOD;Year of construction;Refurbishment Variant;Class;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area [m2];Total wall thermal area above ground [m2];Total wall thermal area below ground [m2];Total outwall area [m2];Total sharedwall area [m2];Total roof area [m2];Gross volume [m3];Is Gross volume approximated?;Heated volume [m3];Ridge/mean Height [m];Eaves/mean Height [m];Storey number;Average Storey Height;Attic Heating;Basement Heating;Basement ceiling height above ground;SA2V ratio [m-1];Heated area [m2];Mean Uvalue [W/m2.K];Specific domestic hot water demand [kWh/m2.yr];Specific space heating demand [kWh/m2.yr];Total Yearly Heat+DHW demand [kWh/yr];January Heating Demand [kWh];February Heating Demand [kWh];March Heating Demand [kWh];April Heating Demand [kWh];May Heating Demand [kWh];June Heating Demand [kWh];July Heating Demand [kWh];August Heating Demand [kWh];September Heating Demand [kWh];October Heating Demand [kWh];November Heating Demand [kWh];December Heating Demand [kWh];Specific space Cooling demand [kWh/m2.yr];Yearly Cooling demand [kWh/yr];January Cooling Demand [kWh];February Cooling Demand [kWh];March Cooling Demand [kWh];April Cooling Demand [kWh];May Cooling Demand [kWh];June Cooling Demand [kWh];July Cooling Demand [kWh];August Cooling Demand [kWh];September Cooling Demand [kWh];October Cooling Demand [kWh];November Cooling Demand [kWh];December Cooling Demand [kWh]
gml_YT691905DLE7O02KSW377WSEDRE4DWM5T53H;;299796,81;56446,96;LOD2;1939;Original;undefined;A0;residential;6419,4;none;0,0;GMH;1188,9;5694,8;0,0;5864,7;0,0;1208,7;20667,2;false;20060,6;20,8;17,26;7;2,9;HEATED;NOT_HEATED;0,5;0,40;6419,4;1,53;18,7;93,5;720734;172108;137465;88018;12145;0;0;0;0;0;7157;73728;109878;62,2;399343;3;14;163;3680;38638;79905;126838;102208;46619;1238;31;8
gml_3WTM70QVR0YVD7TLLQ8TMVELXXKHOLMTBZQE;;299611,21;56349,87;LOD2;1939;Original;undefined;A0;residential;3859,7;none;0,0;GMH;827,9;4199,3;0,0;4444,1;0,0;846,7;14947,3;false;14119,4;20,1;18,03;6;3,2;HEATED;NOT_HEATED;1,0;0,41;3859,7;1,53;18,7;108,0;489157;120901;96185;60624;7763;0;0;0;0;0;4232;50687;76475;73,6;284113;4;18;188;3300;27671;56668;90494;72507;32211;1008;34;9
gml_9QRML5OZRB6ENDFQCR2MA97SZSMOJZBQ18LC;;299631,56;56422,81;LOD2;1939;Original;undefined;A0;residential;4280,7;none;0,0;GMH;956,2;4362,2;0,0;4621,9;0,0;1009,7;16717,4;false;15761,3;20,3;17,41;6;3,2;HEATED;NOT_HEATED;1,0;0,39;4280,7;1,52;18,7;105,8;532922;130696;104198;66081;8896;0;0;0;0;0;4818;55163;82891;70,1;300158;4;17;180;3180;28698;59927;96015;76956;34111;1027;33;9
gml_PQE76GXTE35RWAKO1BC9WIS3APKR1GIK5TRI;;299695,22;56394,43;LOD2;1939;Original;undefined;A0;residential;4234,0;none;0,0;GMH;923,3;4378,7;0,0;4639,6;0,0;983,5;16153,8;false;15230,5;19,9;17,42;6;3,1;HEATED;NOT_HEATED;1,0;0,41;4234,0;1,52;18,7;106,0;527931;129648;103311;65524;8629;0;0;0;0;0;4752;54625;82140;70,9;300348;4;17;180;3288;28890;59896;95949;76884;34174;1026;34;9
gml_SQXJ9Q1DC9I70N5SXNT7RPS42FV86K81UXMY;;299655,54;56497,30;LOD2;1939;Original;undefined;A0;residential;5380,2;none;0,0;GMH;944,5;4710,7;0,0;4772,4;0,0;998,4;17037,1;false;16813,0;20,5;17,97;7;2,9;HEATED;NOT_HEATED;0,2;0,39;5380,2;1,53;18,7;92,1;596427;141997;113428;72632;9980;0;0;0;0;0;5967;60926;90727;61,6;331288;2;11;129;3033;32245;66323;105040;84688;38772;1015;25;6
gml_9649JP6OS4FKFYWM52X15VOLF0FYB01JC4XJ;;299591,08;56518,26;LOD2;1939;Original;undefined;A0;residential;4311,9;none;0,0;GMH;932,8;4506,1;0,0;4766,3;0,0;985,1;16843,1;false;15910,3;20,3;18,00;6;3,2;HEATED;NOT_HEATED;1,0;0,40;4311,9;1,53;18,7;106,4;539396;132624;105650;66944;8782;0;0;0;0;0;4818;55824;83994;71,4;307744;4;18;188;3402;29635;61363;98276;78752;35003;1060;35;9
gml_8CDGH2DDDSI3IN3QW4K5L3SOD7AT5NML8JRX;;299567,10;56443,66;LOD2;1939;Original;undefined;A0;residential;4226,1;none;0,0;GMH;927,5;4283,6;0,0;4543,5;0,0;981,4;15957,1;false;15029,7;19,7;17,14;6;3,1;HEATED;NOT_HEATED;1,0;0,40;4226,1;1,52;18,7;104,9;522503;127960;102006;64694;8701;0;0;0;0;0;4746;54051;81192;69,7;294645;4;17;174;3111;28241;58840;94154;75502;33557;1006;32;8
gml_8M31DETM2IMQXLOQLTV9J15TKTR01W5UJ618;;299850,57;56497,26;LOD2;1939;Original;undefined;K2;retail;732,9;none;0,0;RH;588,1;491,8;0,0;596,6;34,5;588,1;3107,7;false;2519,6;7,0;3,85;2;3,0;HEATED;NOT_HEATED;1,0;0,57;732,9;1,06;73,0;129,5;148381;27408;21989;13929;2111;0;0;0;0;0;1067;11265;17103;104,5;76582;6;17;114;1216;7967;15126;23346;18946;9261;537;34;12
gml_O5QE50QBI3MPAXMAR1FQQOOPUMCTEKRZS3RP;;299548,37;56370,73;LOD2;1939;Original;undefined;A0;residential;5157,7;none;0,0;GMH;1120,6;5314,4;0,0;5638,2;0,0;1138,7;19432,5;false;18311,9;19,7;17,32;6;3,1;HEATED;NOT_HEATED;1,0;0,41;5157,7;1,53;18,7;105,2;639343;156812;124934;79099;10558;0;0;0;0;0;5737;66145;99454;70,3;362596;5;21;219;3890;34866;72399;115735;92838;41315;1256;40;10
gml_FP3EQ8GU7E8J6UU2C0IWYBKDG5XF0D7ZUA7E;;299465,28;56665,45;LOD2;1939;Original;undefined;K2;retail;457,5;none;0,0;RH;319,6;367,9;0,0;441,0;0,0;319,6;1749,4;false;1429,8;6,9;3,85;2;2,9;HEATED;NOT_HEATED;1,0;0,62;457,5;1,13;73,0;127,1;91547;16937;13502;8431;1207;0;0;0;0;0;614;6901;10551;108,5;49658;4;12;84;876;5328;9794;14917;12160;6064;386;24;8
gml_FIM7QIF2VJX4NEG47HJEY029OY6BX4PXBI1K;;299728,69;56475,48;LOD2;1939;Original;undefined;A0;residential;5355,5;none;0,0;GMH;943,1;4699,1;0,0;4708,9;0,0;975,5;16771,4;false;16735,8;20,3;17,71;7;2,9;HEATED;NOT_HEATED;0,0;0,40;5355,5;1,53;18,7;92,2;594263;141518;113064;72541;9830;0;0;0;0;0;5979;60679;90346;61,8;331081;2;10;126;3082;32256;66201;105012;84609;38755;998;24;6
gml_K14O5BVI948VQWIA71DWAAGHVJM2A3A3FR1W;;299527,17;56546,70;LOD2;1939;Original;undefined;A0;residential;5276,5;none;0,0;GMH;929,8;4703,2;0,0;4762,8;0,0;984,9;16701,4;false;16489,2;20,5;17,90;7;2,9;HEATED;NOT_HEATED;0,2;0,40;5276,5;1,53;18,7;93,1;590069;140870;112495;72067;9713;0;0;0;0;0;5883;60320;89891;62,6;330148;2;11;131;3132;32209;66011;104694;84335;38584;1009;25;6
gml_ITC9GRILSUWQEM17VVEFFBMK5NG9WIB5P2O5;;299547,42;56611,20;LOD2;1939;Original;undefined;A0;residential;4265,9;none;0,0;GMH;935,3;4396,2;0,0;4657,1;0,0;986,3;16405,2;false;15469,9;20,0;17,47;6;3,2;HEATED;NOT_HEATED;1,0;0,40;4265,9;1,53;18,7;105,9;531488;130468;103981;65980;8707;0;0;0;0;0;4798;54988;82666;70,8;301870;4;17;179;3289;29005;60199;96467;77294;34346;1027;34;9
gml_R1TVRYWLIL0RJTP5O0X7YBCQDBBUMV01XQJ3;;299768,91;56369,93;LOD2;1939;Original;undefined;A0;residential;5320,3;none;0,0;GMH;1164,4;5455,0;0,0;5787,5;0,0;1202,4;20090,5;false;18926,1;19,7;17,21;6;3,1;HEATED;NOT_HEATED;1,0;0,41;5320,3;1,53;18,7;105,2;659552;161712;128853;81661;10967;0;0;0;0;0;5933;68219;102557;70,0;372476;5;22;224;3960;35675;74351;118986;95451;42460;1290;41;11
gml_Z7VV8R24SH860JBLDOGUE74JY6U8Z5IUR1IP;;299796,66;56528,37;LOD2;1939;Original;undefined;P5;event location;2001,4;none;0,0;RH;824,4;1077,9;0,0;1206,3;0,0;893,0;7078,6;false;6254,3;9,5;6,24;3;2,8;HEATED;NOT_HEATED;1,0;0,41;2001,4;1,14;non calculated;89,2;178424;48749;39077;26041;4450;2;0;0;0;0;4254;23085;32768;63,1;126286;0;1;24;1079;13659;25589;38952;31536;15190;253;3;0
gml_0C5KYU1T2TFGORO01X1HR6IYCQP9WR3CGVAF;;299462,43;56566,98;LOD2;1939;Original;undefined;A0;residential;6703,5;none;0,0;GMH;1148,3;6044,8;0,0;6055,5;0,0;1169,4;20985,8;false;20948,6;20,3;18,26;7;2,9;HEATED;NOT_HEATED;0,0;0,40;6703,5;1,53;18,7;92,9;748169;178691;142621;91233;12197;0;0;0;0;0;7402;76457;114011;62,8;420979;3;14;169;4045;41250;84171;133289;107429;49269;1301;32;8
gml_XS740TSYKV0JYXSD42U7ZQ8P497CQLZG47IA;;299489,57;56638,91;LOD2;1939;Original;undefined;A0;residential;5142,4;none;0,0;GMH;1130,3;5360,9;0,0;5685,0;0,0;1130,3;19731,4;false;18601,1;20,0;17,43;6;3,2;HEATED;NOT_HEATED;1,0;0,40;5142,4;1,53;18,7;106,1;642101;157792;125714;79691;10472;0;0;0;0;0;5745;66433;99938;71,1;365814;5;22;221;4023;35190;72935;116836;93636;41637;1257;41;11
gml_JNZ93GD9RMTGOWWADIN68M3QUXBK8L5BG7RN;;299830,87;56521,13;LOD2;1939;Original;undefined;W9;education;427,3;none;0,0;RH;470,0;262,7;0,0;355,1;34,2;470,0;1805,4;false;1335,5;3,8;3,84;1;2,8;NO_ROOM;NOT_HEATED;1,0;0,72;427,3;1,05;24,8;147,4;73601;16766;13708;9657;2428;1;0;0;0;0;1585;7818;11022;74,4;31777;1;2;13;195;2327;6239;10813;8552;3555;75;4;1
